round,index,qtime_ms,wall_ms,numFound,error
8,80,510,526,42279,
8,81,915,932,57576,
8,82,532,567,63378,
8,83,842,859,28986,
8,84,757,793,77529,
8,85,771,792,77108,
8,86,871,888,86496,
8,87,833,857,28951,
8,88,819,839,57378,
8,89,632,649,77177,
8,90,615,632,51615,
8,91,603,622,51715,
8,92,758,779,28919,
8,93,608,625,21306,
8,94,731,748,28880,
8,95,570,585,63148,
8,96,603,621,51647,
8,97,696,716,29006,
8,98,392,411,42018,
8,99,446,463,21122,
9,0,755,772,42012,
9,1,640,656,63477,
9,2,659,676,41831,
9,3,986,1013,57679,
9,4,968,994,57860,
9,5,928,947,77688,
9,6,835,852,21078,
9,7,656,693,21087,
9,8,597,615,21439,
9,9,792,814,51565,
9,10,725,787,42009,
9,11,877,902,51801,
9,12,924,941,52071,
9,13,597,614,21054,
9,14,944,1022,58063,
9,15,774,851,51776,
9,16,978,997,57780,
9,17,1030,1101,28614,
9,18,960,978,78092,
9,19,745,820,51827,
9,20,675,692,51461,
9,21,840,862,57550,
9,22,610,636,20782,
9,23,757,773,57853,
9,24,750,868,58097,
9,25,678,695,86946,
9,26,638,658,77744,
9,27,529,548,41886,
9,28,727,744,28725,
9,29,500,615,20978,
9,30,471,488,62852,
9,31,743,760,57569,
9,32,733,749,87009,
9,33,605,673,63444,
9,34,615,635,26073,
9,35,705,790,86546,
9,36,636,653,51599,
9,37,816,837,86805,
9,38,754,773,86615,
9,39,617,635,25639,
9,40,640,657,52088,
9,41,739,925,77750,
9,42,662,874,25801,
9,43,647,700,28655,
9,44,487,504,25909,
9,45,519,537,41830,
9,46,667,683,51801,
9,47,806,823,57593,
9,48,661,679,77362,
9,49,727,744,57564,
9,50,770,847,57426,
9,51,768,803,28960,
9,52,729,747,86927,
9,53,585,658,77321,
9,54,525,542,21162,
9,55,732,752,29091,
9,56,769,785,86573,
9,57,756,818,57539,
9,58,599,684,25740,
9,59,476,495,62961,
9,60,705,722,86197,
9,61,669,703,25967,
9,62,610,703,21043,
